fecha;so2_validado;so2_preliminar;so2_no_validado;temperatura_media;fecha_temperatura_minima;temperatura_minima;fecha_temperatura_maxima;temperatura_maxima;mp_2_5_validado;mp_2_5_no_validado;mp_10_validado;mp_10_no_validado
230316;1.01;;;19.2;050316;13.7;980316;25.4;7;;32;
230317;1.01;;;19.0;040317;13.4;150317;24.2;;5;26;
230318;1.01;;;19.0;940318;14.4;090318;24.8;;2;20;
230319;1;;;19.0;130319;13.5;230319;26.1;;;22;
230320;1.02;;;18.8;080320;13.9;230320;24.4;;;38;
230321;1;;;18.9;130321;13.9;150321;26.0;7;;24;
230322;1;;;18.7;180322;13.3;150322;24.1;6;;20;
230323;1;;;18.6;180323;13.7;150323;26.5;8;;22;
230324;1;;;18.7;220324;13.0;150324;26.6;10;;26;
230325;1;;;18.6;220325;12.6;230325;24.3;10;;29;
230326;1;;;18.4;060326;13.6;090326;23.9;11;;25;
230327;1;;;18.5;050327;13.2;040327;25.9;11;;34;
230328;1;;;18.3;060328;13.1;040328;23.6;12;;;30
230329;1;;;18.3;210329;13.2;000329;24.2;12;;;8
230330;1;;;18.2;070330;13.2;140330;26.1;9;;;8
230331;1;;;18.2;030331;13.0;100331;25.4;12;;;15
230401;1;;;18.3;220401;12.6;160401;23.8;11;;36;
230402;1;;;18.3;220402;12.7;230402;24.3;7;;22;
230403;1;;;18.2;030403;12.2;230403;23.8;9;;25;
230404;1;;;17.9;130404;11.9;980404;23.8;10;;29;
230405;1;;;17.8;030405;11.8;160405;23.6;11;;31;
230406;1;;;17.8;000406;12.3;970406;23.2;12;;33;
230407;1;;;17.7;000407;12.3;980407;24.8;11;;31;
230408;1;;;17.7;030408;10.0;980408;23.7;13;;34;
230409;1;;;17.7;000409;11.1;120409;27.7;12;;32;
230410;1;;;17.6;060410;11.5;120410;25.7;11;;33;
230411;1.01;;;17.4;060411;11.5;230411;23.8;10;;28;
230412;1;;;17.3;080412;10.9;000412;26.1;11;;33;
230413;1;;;17.4;050413;11.0;000413;28.3;11;;32;
230414;1;;;17.3;060414;11.4;000414;24.4;9;;26;
230415;1;;;17.1;130415;11.3;040415;22.6;10;;33;
230416;1;;;17.1;220416;11.0;150416;22.3;10;;28;
230417;1;;;16.9;220417;11.2;170417;22.6;14;;39;
230418;1;;;17.1;030418;11.5;150418;22.5;14;;45;
230419;1;;;17.0;030419;11.2;090419;23.6;15;;51;
230420;1;;;16.8;020420;11.4;120420;22.6;19;;55;
230421;1;;;16.7;080421;10.9;.;21.8;15;;41;
230422;1;;;16.7;000422;11.4;090422;22.8;13;;32;
230423;1;;;16.7;080423;11.2;060423;23.2;13;;37;
230424;1;;;16.9;130424;11.0;050424;24.7;13;;49;
230425;1;;;16.7;130425;11.3;050425;23.9;12;;40;
230426;1;;;16.3;960426;11.1;150426;21.4;14;;38;
230427;1;;;16.4;130427;10.9;120427;21.2;15;;37;
230428;1;;;16.2;960428;10.7;180428;23.7;13;;31;
230429;1;;;16.5;100429;10.6;970429;23.4;16;;34;
230430;1;;;16.2;010430;9.8;160430;22.5;12;;31;
230501;1;;;16.2;010501;9.6;100501;24.1;13;;39;
230502;1;;;16.0;010502;9.5;970502;22.1;13;;35;
230503;1;;;16.1;080503;8.7;970503;24.2;12;;33;
230504;1;;;16.2;080504;9.9;940504;23.3;14;;36;
230505;1;;;16.2;230505;10.3;010505;23.9;13;;37;
230506;1;;;16.2;000506;10.6;.;23.0;17;;45;
230507;1;;;16.2;230507;10.9;970507;26.7;15;;43;
230508;1;;;15.9;990508;10.6;970508;22.3;17;;48;
230509;1;;;15.9;070509;9.0;140509;21.8;17;;39;
230510;1;;;15.8;070510;7.9;170510;25.8;24;;55;
230511;1;;;15.9;010511;9.5;170511;25.0;25;;58;
230512;1;;;16.0;010512;8.6;170512;27.9;24;;62;
230513;1;;;16.0;070513;9.2;020513;22.4;18;;41;
230514;1;;;16.0;010514;9.3;000514;23.9;17;;44;
230515;1;;;15.8;130515;11.0;970515;22.3;16;;51;
230516;1;;;15.7;040516;9.1;970516;22.0;13;;38;
230517;1.01;;;15.6;040517;9.9;970517;21.2;13;;46;
230518;1;;;15.6;080518;9.2;970518;21.8;10;;45;
230519;1;;;15.6;070519;9.4;.;27.0;11;;32;
230520;1;;;15.5;000520;9.9;010520;22.4;13;;36;
230521;1;;;15.0;000521;9.5;970521;19.9;12;;37;
230522;1;;;15.0;000522;9.0;970522;22.2;15;;40;
230523;1;;;15.1;190523;9.5;970523;24.1;16;;38;
230524;1;;;15.1;040524;9.2;970524;21.1;12;;47;
230525;1;;;15.2;070525;9.4;020525;28.6;13;;47;
230526;1;;;15.2;040526;8.1;020526;25.7;15;;53;
230527;1;;;15.1;990527;9.0;190527;21.0;14;;44;
230528;1;;;15.2;080528;9.5;970528;22.6;17;;43;
230529;1;;;15.2;040529;8.2;200529;23.1;21;;52;
230530;1;;;15.1;070530;8.9;200530;21.9;20;;47;
230531;1;;;14.9;080531;8.3;970531;20.9;16;;39;
230601;1;;;14.9;090601;9.1;990601;20.5;21;;57;
230602;1;;;14.9;080602;9.1;160602;23.8;21;;59;
230603;1;;;15.0;220603;8.5;000603;22.0;19;;53;
230604;1;;;14.9;030604;9.5;970604;22.1;21;;50;
230605;1;;;14.8;040605;8.1;970605;20.7;21;;57;
230606;1;;;14.6;200605;9.5;970606;20.1;23;;56;
230607;1;;;14.6;040607;9.3;970607;21.0;22;;58;
230608;1;;;14.5;040608;7.7;970608;21.2;21;;52;
230609;1;;;14.4;140609;7.6;970609;21.3;13;;42;
230610;1;;;14.7;990610;8.8;970610;23.5;10;;33;
230611;1;;;14.8;140611;8.5;970611;20.7;10;;33;
230612;1;;;14.7;990612;8.9;970612;22.6;11;;34;
230613;1;;;14.5;060613;8.5;950613;20.8;11;;35;
230614;1;;;14.6;020614;7.9;.;21.4;13;;51;
230615;1;;;14.5;020615;8.7;950615;20.3;15;;50;
230616;1;;;14.5;190616;10.3;970616;21.4;26;;66;
230617;1;;;14.5;220617;8.6;970617;23.6;17;;45;
230618;1;;;14.5;020618;7.3;970618;21.3;15;;34;
230619;1;;;14.2;000619;7.4;970619;20.4;14;;40;
230620;1;;;14.3;000620;7.2;970620;21.9;12;;38;
230621;1;;;14.1;130621;8.2;150621;20.0;13;;34;
230622;1;;;14.2;130622;9.1;970622;20.2;13;;31;
230623;1;;;14.5;990623;8.7;000623;20.9;13;;33;
230624;1;;;14.2;060624;8.6;230624;22.3;14;;32;
230625;1;;;14.3;010625;7.5;230625;20.3;14;;34;
230626;1;;;14.4;130626;7.9;170626;22.2;13;;31;
230627;1;;;14.1;140627;7.4;980627;19.8;14;;39;
230628;1;;;14.2;960628;8.5;990628;20.3;12;;37;
230629;1;;;14.1;100629;6.1;230629;19.8;17;;45;
230630;1;;;14.0;.;8.2;.;19.4;20;;52;
230701;1;;;14.1;960701;8.3;230701;21.1;16;;44;
230702;1;;;14.0;960702;7.3;060702;20.4;17;;47;
230703;1;;;14.1;960702;8.5;060703;21.4;18;;50;
230704;1;;;14.2;990704;8.1;970704;21.1;15;;44;
230705;1;;;14.0;990705;7.8;970705;21.7;14;;42;
230706;1;;;14.1;120706;7.5;060706;22.7;14;;46;
230707;1;;;14.0;940707;6.7;970707;20.0;15;;42;
230708;1;;;14.1;940708;8.8;160708;20.8;10;;30;
230709;1;;;14.0;960709;8.8;160709;19.8;10;;27;
230710;1;;;13.9;000710;8.2;970710;21.4;10;;36;
230711;1;;;13.9;000711;7.5;970711;22.6;10;;30;
230712;1;;;13.9;000712;7.1;970712;20.0;11;;44;
230713;1;;;13.9;000713;8.6;230713;20.9;14;;50;
230714;1;;;14.0;990714;8.7;230714;21.1;16;;45;
230715;1;;;13.8;990715;9.0;230715;19.9;14;;37;
230716;1;;;13.6;090716;7.9;230716;19.0;17;;36;
230717;1;;;13.6;050717;7.5;970717;19.6;15;;39;
230718;1;;;13.5;.;5.9;060718;20.4;14;;42;
230719;1;;;13.6;100719;6.8;060719;20.5;22;;50;
230720;1;;;13.9;100720;6.0;060720;20.5;20;;45;
230721;1;;;14.0;050721;7.4;010721;20.3;18;;38;
230722;1;;;13.8;050722;6.6;020722;19.6;13;;36;
230723;1;;;13.6;050723;6.3;230723;19.9;13;;32;
230724;1;;;13.7;140724;7.0;970724;19.5;10;;31;
230725;1;;;13.6;090725;7.8;970725;19.8;10;;25;
230726;1;;;13.7;090726;8.5;970726;19.8;11;;33;
230727;1;;;13.7;960727;8.1;970727;20.1;9;;28;
230728;1;;;13.6;030728;7.1;970728;20.8;12;;34;
230729;1;;;13.6;030729;8.0;970729;20.7;12;;31;
230730;1;;;13.8;.;9.2;970730;19.8;14;;38;
230731;1;;;13.8;200731;8.3;970731;19.6;18;;45;
230801;1;;;13.8;940801;7.0;970801;20.1;14;;36;
230802;1;;;13.8;940802;8.3;230802;20.6;16;;43;
230803;1;;;13.9;040803;8.3;150803;19.7;16;;37;
230804;1;;;14.0;950804;8.6;970804;19.7;18;;41;
230805;1;;;14.0;030805;8.6;970805;19.9;17;;37;
230806;1;;;14.1;070806;8.9;970806;20.2;15;;41;
230807;1;;;14.0;120807;9.8;970807;19.6;13;;38;
230808;1;;;14.2;940808;9.2;990808;20.9;11;;35;
230809;1;;;13.9;940809;7.8;970809;22.2;13;;31;
230810;1;;;14.1;090810;9.7;970810;25.3;11;;30;
230811;1;;;14.2;980811;9.4;970811;27.0;14;;41;
230812;1;;;14.1;950812;8.4;970812;20.7;13;;35;
230813;1;;;14.0;950813;9.7;190813;20.3;12;;31;
230814;1;;;14.1;980814;7.0;970814;21.2;12;;29;
230815;1;;;13.9;980815;8.3;970815;19.7;10;;26;
230816;1.02;;;14.2;060816;8.9;970816;22.7;13;;36;
230817;1;;;14.0;030817;9.3;970817;23.2;12;;34;
230818;1;;;14.1;040818;8.0;970818;20.6;11;;35;
230819;1;;;14.1;200819;8.4;230819;19.8;15;;52;
230820;1;;;13.9;200820;8.6;230820;20.6;15;;37;
230821;1;;;14.0;990821;9.5;230821;19.9;15;;40;
230822;1;;;14.1;110822;9.4;170822;20.2;15;;42;
230823;1;;;14.1;090823;9.2;960823;19.5;12;;38;
230824;1;;;14.1;030824;8.4;970824;20.5;10;;31;
230825;1;;;14.2;210825;8.7;040825;20.5;11;;35;
230826;1;;;14.1;980826;7.3;020826;26.3;14;;41;
230827;1;;;14.3;070827;8.5;150827;21.9;18;;45;
230828;1;;;14.2;070828;9.3;130828;21.1;20;;44;
230829;1;;;14.4;070829;10.4;010829;21.6;16;;42;
230830;1;;;14.5;980830;8.9;040830;20.5;15;;45;
230831;1;;;14.3;050831;8.1;110831;20.6;14;;41;
230901;1;;;14.3;050901;8.3;110901;19.9;14;;44;
230902;1;;;14.4;940902;8.6;990902;20.2;15;;40;
230903;1;;;14.3;100903;9.0;180903;20.1;11;;36;
230904;1;;;14.3;070904;8.8;180904;20.8;11;;42;
230905;1;;;14.3;080905;9.5;970905;21.8;15;;47;
230906;1;;;14.4;080906;8.5;970906;20.2;11;;37;
230907;1;;;14.5;980907;8.4;940907;20.4;8;;28;
230908;1;;;14.5;980908;7.5;940908;21.7;12;;35;
230909;1;;;14.5;030909;9.3;130909;24.0;14;;48;
230910;1;;;14.5;030910;7.1;230910;23.9;14;;44;
230911;1;;;14.4;980911;9.9;150911;19.5;12;;40;
230912;1;;;14.4;140912;10.0;040912;20.6;14;;52;
230913;1;;;14.4;010913;8.6;110913;21.1;17;;68;
230914;1.01;;;14.3;170914;9.0;150914;20.8;18;;57;
230915;1;;;14.5;050915;9.6;230915;21.9;16;;46;
230916;1;;;14.5;050916;9.6;230916;22.0;14;;33;
230917;1;;;14.5;100917;9.5;970917;25.0;14;;32;
230918;1;;;14.5;100918;9.8;970918;24.2;12;;28;
230919;1;;;14.5;120919;10.1;970919;20.4;13;;26;
230920;1;;;14.6;130920;9.0;150920;20.5;11;;22;
230921;1;;;14.8;220921;9.8;.;21.1;10;;22;
230922;1;;;14.8;990922;10.0;000922;21.1;12;;31;
230923;1;;;14.8;070923;10.3;940923;20.4;10;;20;
230924;1;;;14.8;070924;11.1;020924;20.9;9;;16;
230925;1;;;14.8;050925;9.3;150925;20.8;12;;23;
230926;1;;;14.9;040926;10.9;970926;22.1;12;;36;
230927;1;;;14.9;070927;11.3;940927;21.2;11;;31;
230928;1;;;14.9;220928;10.2;100928;20.0;12;;31;
230929;1;;;14.9;980929;9.8;150929;21.0;12;;31;
230930;1;;;15.1;010930;9.9;970930;20.3;15;;33;
231001;1;;;14.9;991001;11.0;971001;22.0;14;;34;
231002;1;;;14.9;171002;10.9;961002;20.7;10;;27;
231003;1;;;15.0;071003;10.2;111003;20.6;9;;24;
231004;1;;;15.1;101004;9.9;171004;21.1;10;;30;
231005;;;;15.1;971005;12.2;941005;23.6;;;;
231006;;;;15.3;221006;11.5;161006;22.1;;;;
231007;;;;15.2;211007;11.4;941007;21.0;;;;
231008;1;;;15.3;011008;11.2;011008;21.1;11;;29;
231009;1;;;15.3;971009;11.0;011009;20.7;11;;29;
231010;1;;;15.4;141010;11.6;941010;21.3;11;;27;
231011;1;;;15.3;951011;10.3;941011;20.3;10;;28;
231012;1;;;15.3;051011;12.5;971012;24.1;13;;33;
231013;1;;;15.5;961013;10.0;971013;25.7;15;;32;
231014;1;;;15.5;101014;10.3;031014;22.9;13;;27;
231015;1;;;15.5;111014;11.1;031015;20.8;12;;26;
231016;1;;;15.4;181016;10.6;141016;21.1;13;;29;
231017;1;;;15.4;111017;10.6;141017;21.1;15;;33;
231018;1;;;15.5;.;10.4;151018;21.7;11;;34;
231019;1;;;15.5;111018;11.3;971019;20.8;11;;35;
231020;1;;;15.7;111020;12.1;971020;20.0;13;;35;
231021;1;;;15.6;101021;11.7;031021;21.3;10;;28;
231022;1;;;15.8;121022;11.9;991022;21.4;10;;32;
231023;1;;;15.7;071023;10.9;011023;21.0;9;;25;
231024;1;;;15.8;001024;10.9;971024;20.1;9;;28;
231025;1;;;15.8;981025;12.0;141025;21.4;9;;25;
231026;1;;;16.0;171026;12.8;141026;21.8;12;;28;
231027;1;;;16.0;101027;12.8;161027;20.5;11;;33;
231028;1;;;16.1;111028;12.1;961028;21.2;9;;29;
231029;1;;;16.2;001029;12.2;091029;22.4;10;;35;
231030;1;;;16.2;071030;10.8;091030;22.3;12;;39;
231031;1;;;16.2;941031;11.4;991031;22.6;12;;39;
231101;;1;;16.3;021101;12.4;091101;23.6;12;;29;
231102;;1;;16.3;001102;10.8;941102;23.4;10;;34;
231103;;1;;16.4;011103;11.8;941103;21.7;13;;42;
231104;;1;;16.4;991104;12.7;161104;22.5;11;;31;
231105;;1;;16.4;071105;11.0;981105;21.1;10;;26;
231106;;1;;16.5;981106;13.1;981106;20.8;9;;29;
231107;;1;;16.6;071107;12.9;971107;21.6;7;;24;
231108;;1;;16.8;021108;12.8;971108;21.5;9;;34;
231109;;1;;16.8;111109;13.8;231109;23.3;10;;37;
231110;;1;;16.9;991110;13.4;971110;22.4;9;;42;
231111;;1;;16.8;021111;11.1;031111;21.0;8;;25;
231112;;1;;16.8;001112;12.0;081112;21.6;7;;27;
231113;;1;;16.9;041113;12.7;081113;21.9;8;;38;
231114;;1;;16.9;131114;12.2;081114;21.1;8;;30;
231115;;1;;17.1;001115;12.2;081115;21.4;8;;28;
231116;;1;;16.9;001116;11.4;971116;21.6;10;;34;
231117;;1;;16.9;001117;11.0;131117;21.4;9;;29;
231118;;1;;17.0;091118;12.3;971118;21.6;8;;29;
231119;;1;;17.2;941119;13.0;191119;22.8;11;;26;
231120;;1;;17.4;131120;13.4;961120;22.5;7;;21;
231121;;1;;17.2;011121;12.0;191121;22.5;7;;24;
231122;;1;;17.5;991122;12.8;191122;23.1;7;;23;
231123;;1;;17.6;961123;14.4;951123;21.9;7;;26;
231124;;1;;17.5;101124;12.8;971124;23.1;9;;25;
231125;;1;;17.6;001125;13.5;961125;23.5;7;;22;
231126;1;;;17.7;071126;12.8;031126;23.3;7;;19;
231127;1;;;17.6;011127;12.6;031127;22.6;9;;27;
231128;1;;;17.6;011128;12.9;031128;22.6;7;;22;
231129;1;;;17.7;011129;12.6;971129;22.9;6;;21;
231130;1;;;17.8;121130;13.4;971130;22.9;6;;19;
231201;1;;;17.7;071201;13.4;971201;22.4;7;;27;
231202;1;;;18.0;071202;13.8;971202;23.1;6;;26;
231203;1;;;17.9;991203;12.3;121203;23.9;8;;22;
231204;1;;;17.9;991204;13.3;131204;23.9;9;;27;
231205;1;;;17.9;991205;12.5;131205;23.5;8;;25;
231206;1;;;18.0;951206;13.9;971206;23.3;9;;28;
231207;1;;;18.0;051207;12.1;971207;23.7;9;;23;
231208;1;;;18.0;051208;12.7;971208;24.0;9;;23;
231209;1;;;18.1;071209;12.5;971209;25.1;8;;18;
231210;1;;;18.3;051210;13.0;971210;25.0;8;;18;
231211;1;;;18.1;211211;13.5;971211;24.4;10;;29;
231212;1;;;18.3;021212;13.3;971212;24.5;10;;30;
231213;1;;;18.7;961213;14.2;971213;25.1;9;;27;
231214;1;;;18.6;071214;13.8;041214;24.6;9;;31;
231215;1;;;18.6;071215;13.7;041215;25.2;7;;26;
231216;1;;;18.6;071216;12.8;971216;25.4;6;;22;
231217;1;;;18.9;071217;13.0;971217;25.4;5;;25;
231218;1;;;18.8;951218;14.4;011218;27.8;5;;22;
231219;1;;;18.9;981219;14.7;971219;24.7;7;;28;
231220;1;;;19.0;141220;14.5;001220;24.7;5;;22;
231221;1;;;18.9;951221;14.3;971221;25.3;7;;22;
231222;1;;;19.0;141222;13.8;971222;25.5;6;;20;
231223;1;;;19.1;951223;14.2;941223;25.0;6;;17;
231224;1;;;19.1;021224;13.2;971224;24.9;7;;19;
231225;1;;;19.3;141225;14.6;971225;25.6;7;;19;
231226;1;;;19.4;961226;14.0;971226;25.7;7;;21;
231227;1;;;19.3;121227;13.3;971227;25.6;6;;24;
231228;1;;;19.3;031228;14.2;971228;25.9;7;;24;
231229;1;;;19.4;121229;14.1;971229;25.5;7;;23;
231230;1;;;19.6;141230;14.3;961230;25.2;4;;20;
231231;1;;;19.6;021231;14.0;061231;26.3;11;;23;
